Country,Export Value,Import Value (D),Trade Balance,Import Value,FlagBase64
Saint Helena,77 ,-108 ,-30 ,108 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0yNTYgMGgyNTZ2NTEySDBWMjU2WiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDB2MzJsMzIgMzJMMCA5NnYxNjBoMzJsMzItMzIgMzIgMzJoMzJ2LTgzbDgzIDgzaDQ1bC04LTE2IDgtMTV2LTE0bC04My04M2g4M1Y5NmwtMzItMzIgMzItMzJWMEg5Nkw2NCAzMiAzMiAwWiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0zMiAwdjMySDB2NjRoMzJ2MTYwaDY0Vjk2aDE2MFYzMkg5NlYwWm05NiAxMjggMTI4IDEyOHYtMzFsLTk3LTk3eiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0yODggMTI4aDE2MHY4MGwtODAgMzItODAtMzJ6Ii8+PHBhdGggZmlsbD0iIzMzMyIgZD0iTTM2OCAxNDBhMTQgMTQgMCAwIDAtMTQgMTRoLTQyYTE0IDE0IDAgMCAwIDE0IDE0IDE0IDE0IDAgMCAwIDE0IDE0IDE0IDE0IDAgMCAwIDE0IDE0aDI4YTE0IDE0IDAgMCAwIDE0LTE0IDE0IDE0IDAgMCAwIDE0LTE0IDE0IDE0IDAgMCAwIDE0LTE0aC00MmExNCAxNCAwIDAgMC0xNC0xNHoiLz48cGF0aCBmaWxsPSIjMzM4YWYzIiBkPSJNMjg4IDIwOHY0OGMwIDYxIDgwIDgwIDgwIDgwczgwLTE5IDgwLTgwdi00OHoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNMzcyIDIyMWMtOSAwLTE1IDgtMjUgMSA1IDEyIDE0IDkgMjIgMTB2NmgtMTRzLTE0IDIwIDAgMzhoMTR2NWgtMTRjLTkgMC05LTExLTktMTFoLTM0djExaDdjOSA4IDEzIDI2IDI3IDI2aDUyYzE1IDAgMTctOSAyMC0xNyAzLTcgNS04IDYtOXYtOGgtMjlzMCA4LTggOGgtMTJ2LTZoMTRjLTExLTE3IDAtMzcgMC0zN2gtMTR2LTE2bC00LTF6bS0yMyAxN2MtMjAgNi0zMSAyNi0zMSAyNmgyNWMtMi0xNyA2LTI2IDYtMjZ6bTQ0IDZhMzQgMzQgMCAwIDAtMiAyM2gyNGMtNS0xMiAwLTIzIDAtMjN6Ii8+PC9nPjwvc3ZnPg=="
Sao Tome and Principe,74 ,-241 ,-167 ,241 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDBoNTEydjE2N2wtNTIuNiA4My44TDUxMiAzNDV2MTY3SDBsNzItMjY0LjN6Ii8+PHBhdGggZmlsbD0iI2ZmZGE0NCIgZD0iTTExNC45IDE2Ni45SDUxMnYxNzhIMTE0Ljl6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTAgMHY1MTJsMjU2LTI1NnoiLz48cGF0aCBmaWxsPSIjMzMzIiBkPSJtMzI1IDIxMS41IDExLjEgMzRIMzcybC0yOSAyMSAxMS4xIDM0LTI5LTIxLTI4LjkgMjEgMTEtMzQtMjguOC0yMUgzMTR6bTExMS40IDAgMTEgMzRoMzUuOGwtMjkgMjEgMTEuMSAzNC0yOS0yMS0yOC45IDIxIDExLjEtMzQtMjktMjFoMzUuOHoiLz48L2c+PC9zdmc+"
Bonaire,62 ,-1552 ,-1490 ,1552 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0xMTMuNyAxMTkuOCAyNzYgMGgyMzZ2MzEuN0wzMDYgMjg5LjUgMzEuNiA1MTJIMFYyNzZ6Ii8+PHBhdGggZmlsbD0iI2ZmZGE0NCIgZD0iTTAgMHYyNzZMMjc2IDBIMHoiLz48cGF0aCBmaWxsPSIjMDA1MmI0IiBkPSJNNTEyIDMxLjcgMzEuNyA1MTJINTEyVjMxLjd6Ii8+PHBhdGggZmlsbD0iIzMzMyIgZD0ibTI1NSAyNDUuNyAyMi4xLTEyLTIyLTEyYTc4IDc4IDAgMCAwLTY1LTY1bC0xMi0yMi0xMiAyMmE3OCA3OCAwIDAgMC02NSA2NWwtMjIgMTIgMjIgMTJhNzggNzggMCAwIDAgNjUgNjVsMTIgMjIuMSAxMi0yMmE3OCA3OCAwIDAgMCA2NS02NXptLTc3IDMyLjZhNDQuNSA0NC41IDAgMSAxIDAtODkgNDQuNSA0NC41IDAgMCAxIDAgODl6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0ibTE3OCAyMDAuMyA5LjcgMTYuN0gyMDdsLTkuNiAxNi43IDkuNiAxNi43aC0xOS4zbC05LjYgMTYuNy05LjctMTYuN2gtMTkuMmw5LjYtMTYuNy05LjYtMTYuN2gxOS4yeiIvPjwvZz48L3N2Zz4="
Grenada,61 ,-642 ,-582 ,642 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0yMy42IDIzLjdoNDY0Ljh2NDY0LjdIMjMuNnoiLz48cGF0aCBmaWxsPSIjNDk2ZTJkIiBkPSJNMCA3NS4xIDM4IDM4bDQzNi4zIDQzNi40IDM3LjctMzcuNVY3NWwtMzkuNi0zNS41TDQwLjIgNDcxLjggMCA0MzYuOHoiLz48Y2lyY2xlIGN4PSIyNTYiIGN5PSIyNTYuMSIgcj0iODkiIGZpbGw9IiNhMjAwMWQiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJtMjU2IDE2NyAyMCA2MS41aDY0LjZsLTUyLjMgMzggMjAgNjEuMy01Mi4zLTM4LTUyLjMgMzggMjAtNjEuMy01Mi4zLTM4SDIzNnpNMjU2IC4yeiIvPjxwYXRoIGZpbGw9IiNhMjAwMWQiIGQ9Ik0wIDBoNTEydjc1LjFIMHptMCA0MzYuOGg1MTJ2NzUuMUgweiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0yNTYgMjggNC4xIDEyLjdoMTMuNWwtMTAuOSA4IDQuMiAxMi42LTEwLjktNy45LTEwLjggOCA0LjEtMTIuOC0xMC45LThIMjUyem0tNjIgMCA0IDEyLjdoMTMuNWwtMTAuOSA4IDQuMiAxMi42LTEwLjktNy45LTEwLjggOCA0LjEtMTIuOC0xMC44LThoMTMuNHptMTI0IDAgNC4yIDEyLjdoMTMuNGwtMTAuOCA4IDQuMSAxMi42LTEwLjgtNy45LTEwLjkgOCA0LjItMTIuOC0xMC45LThIMzE0em0tNjIgNDIyLjggNC4xIDEyLjdoMTMuNWwtMTAuOSA4IDQuMiAxMi43LTEwLjktOC0xMC44IDggNC4xLTEyLjgtMTAuOS03LjlIMjUyem0tNjIgMCA0IDEyLjdoMTMuNWwtMTAuOSA4IDQuMiAxMi43LTEwLjktOC0xMC44IDggNC4xLTEyLjgtMTAuOC03LjloMTMuNHptMTI0IDAgNC4yIDEyLjdoMTMuNGwtMTAuOCA4IDQuMSAxMi43LTEwLjgtOC0xMC45IDggNC4yLTEyLjgtMTAuOS03LjlIMzE0em0tMjQwLTE5OWEyMi4zIDIyLjMgMCAwIDEtMzcuNiAyMy45Yy0xMi0xOC44LTUtNDkuNS01LTQ5LjVTNjYgMjMzIDc4IDI1MS45eiIvPjxjaXJjbGUgY3g9IjY1LjEiIGN5PSIyNzMuMiIgcj0iMTEuMSIgZmlsbD0iI2EyMDAxZCIvPjwvZz48L3N2Zz4="
Cook Islands,57 ,-379 ,-322 ,379 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0yNTYgMGgyNTZ2NTEySDBWMjU2WiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDB2MzJsMzIgMzJMMCA5NnYxNjBoMzJsMzItMzIgMzIgMzJoMzJ2LTgzbDgzIDgzaDQ1bC04LTE2IDgtMTV2LTE0bC04My04M2g4M1Y5NmwtMzItMzIgMzItMzJWMEg5Nkw2NCAzMiAzMiAwWiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0zMiAwdjMySDB2NjRoMzJ2MTYwaDY0Vjk2aDE2MFYzMkg5NlYwWm05NiAxMjggMTI4IDEyOHYtMzFsLTk3LTk3eiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0zNDUgMjU2IDQuOCAxNC42SDM2NWwtMTIuNCA5IDQuNyAxNC42LTEyLjQtOS0xMi40IDkgNC44LTE0LjYtMTIuNC05aDE1LjN6bS02MyAyNiAxMy43IDcgMTAuOS0xMC44LTIuNCAxNS4xIDEzLjYgNy0xNS4xIDIuNC0yLjQgMTUuMS03LTEzLjYtMTUuMSAyLjQgMTAuOC0xMC45em0tMjYgNjMgMTQuNi00LjdWMzI1bDkgMTIuNCAxNC42LTQuOC05IDEyLjQgOSAxMi40LTE0LjYtNC43LTkgMTIuNHYtMTUuM3ptMjYgNjMgNy0xMy42LTEwLjgtMTAuOSAxNS4xIDIuNCA3LTEzLjYgMi40IDE1IDE1LjEgMi41LTEzLjYgNyAyLjQgMTUtMTAuOS0xMC44em02MyAyNi00LjctMTQuNUgzMjVsMTIuNC05LTQuOC0xNC42IDEyLjQgOSAxMi40LTktNC43IDE0LjYgMTIuNCA5aC0xNS4zem02My0yNi0xMy42LTctMTAuOSAxMC45IDIuNC0xNS4yLTEzLjYtNyAxNS0yLjMgMi41LTE1LjEgNyAxMy42IDE1LTIuNC0xMC44IDEwLjl6bTI2LTYzLTE0LjUgNC44VjM2NWwtOS0xMi40LTE0LjYgNC43IDktMTIuNC05LTEyLjQgMTQuNiA0LjggOS0xMi40djE1LjN6bS0yNi02My03IDEzLjcgMTAuOSAxMC45LTE1LjItMi40LTcgMTMuNi0yLjMtMTUuMS0xNS4xLTIuNCAxMy42LTctMi40LTE1LjEgMTAuOSAxMC44eiIvPjwvZz48L3N2Zz4="
Saint Lucia,47 ,-1928 ,-1882 ,1928 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzhhZjMiIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0xNjEuNCAzNDVoMTg5LjJMMjU2IDEyMi40eiIvPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik0xOTQuMyAzMjIuOCAyNTYgMTgyLjRsNjEuNyAxNDAuNHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJNMTYxLjQgMzQ1aDE4OS4yTDI1NiAyNTZ6Ii8+PC9nPjwvc3ZnPg=="
Anguilla,46 ,-493 ,-447 ,493 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0yNTYgMGgyNTZ2NTEySDBWMjU2WiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDB2MzJsMzIgMzJMMCA5NnYxNjBoMzJsMzItMzIgMzIgMzJoMzJ2LTgzbDgzIDgzaDQ1bC04LTE2IDgtMTV2LTE0bC04My04M2g4M1Y5NmwtMzItMzIgMzItMzJWMEg5Nkw2NCAzMiAzMiAwWiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0zMiAwdjMySDB2NjRoMzJ2MTYwaDY0Vjk2aDE2MFYzMkg5NlYwWm05NiAxMjggMTI4IDEyOHYtMzFsLTk3LTk3eiIvPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik00NDUuMiAyNTYuMXptLTE1NS44IDB6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTQzMyAyOTMuNmE2Mi40IDYyLjQgMCAwIDAgMTIuMi0zNy41VjE0NC44YTU1LjQgNTUuNCAwIDAgMS0zMy40IDExLjEgNTUuNiA1NS42IDAgMCAxLTQ0LjUtMjIuMiA1NS42IDU1LjYgMCAwIDEtNDQuNSAyMi4yIDU1LjQgNTUuNCAwIDAgMS0zMy40LTExLjF2MTExLjNjMCAxNSA1IDI3LjMgMTIuMyAzNy41aDEzMS4yeiIvPjxwYXRoIGZpbGw9IiNmZjk4MTEiIGQ9Ik00MDkuOCAyMzUuNWE5MSA5MSAwIDAgMCA2LjMtMjcuNmMwLTEwLjEtMTMuMi0xOC4zLTEzLjItMTguM3MtMTMuMiA4LjItMTMuMiAxOC4zYTkxIDkxIDAgMCAwIDYuMyAyNy42bC03LjYgMTcuMWEzOC4zIDM4LjMgMCAwIDAgMjkgMHptLTUxLjUtNTUuNmE5MSA5MSAwIDAgMC0yNyA4LjNjLTguOCA1LTkuMyAyMC41LTkuMyAyMC41czEzLjcgNy40IDIyLjQgMi4zYzUuNS0zLjEgMTUtMTEuOCAyMC44LTE5LjJsMTguNi0yYTM4LjQgMzguNCAwIDAgMC00LjctMTQgMzguNCAzOC40IDAgMCAwLTkuNy0xMS4xem0tMjIuNCA3Mi4yYTkxIDkxIDAgMCAwIDIwLjcgMTkuM2M4LjggNSAyMi41LTIuMyAyMi41LTIuM3MtLjYtMTUuNS05LjMtMjAuNWE5MSA5MSAwIDAgMC0yNy04LjRsLTExLjEtMTUuMWEzOC40IDM4LjQgMCAwIDAtOS43IDExIDM4LjQgMzguNCAwIDAgMC00LjggMTR6Ii8+PHBhdGggZmlsbD0iIzMzOGFmMyIgZD0iTTI5OSAyODkuNWMyMC43IDMzLjMgNjguMyA0NC41IDY4LjMgNDQuNXM0Ny42LTExLjIgNjguNC00NC41SDI5OC45WiIvPjwvZz48L3N2Zz4="
Dominica,44 ,-619 ,-575 ,619 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik0wIDBoMjA4bDQ4IDMyIDQ4LTMyaDIwOHYyMDhsLTMyIDQ4IDMyIDQ4djIwOEgzMDRsLTQ4LTMyLTQ4IDMySDBWMzA0bDMyLTQ4LTMyLTQ4WiIvPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik01MTIgMjQwdjMybC0yNTYgMzJMMCAyNzJ2LTMybDI1Ni0zMnoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJNNTEyIDIwOHYzMkgwdi0zMnoiLz48cGF0aCBmaWxsPSIjMzMzIiBkPSJNMjQwIDBoMzJsMzIgMjU2LTMyIDI1NmgtMzJsLTMyLTI1NloiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJNMjA4IDBoMzJ2NTEyaC0zMnoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNMjcyIDBoMzJ2NTEyaC0zMnoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNNTEyIDI3MnYzMkgwdi0zMnoiLz48Y2lyY2xlIGN4PSIyNTYiIGN5PSIyNTYiIHI9IjEyMi40IiBmaWxsPSIjZDgwMDI3Ii8+PHBhdGggZmlsbD0iIzQ5NmUyZCIgZD0iTTI4NCAyNzBjLTktMTktMjEtMzctMjEtMzd2LTEzYTE0IDE0IDAgMCAwLTI3LTIgMTEgMTEgMCAwIDAtNCAyMSAxNiAxNiAwIDAgMSA5LTkgMTQgMTQgMCAwIDAgMiAyaDJzLTcgMTktNyAyOWMwIDI3IDE5IDM2IDE5IDM2bC0xMCA5aDE5di0xOGw5IDlzMTctMTEgOS0yN3ptLTI4LTExNCA0IDEzaDE0bC0xMSA4IDQgMTItMTEtOC0xMSA4IDQtMTItMTEtOGgxNFptLTU5IDE5IDExIDggMTEtOC00IDEzIDExIDhoLTE0bC00IDEyLTQtMTJoLTE0bDExLTh6bS0zNiA1MGgxM2w0LTEzIDQgMTNoMTRsLTExIDggNCAxMy0xMS04LTExIDggNS0xM3ptMCA2MiAxMS04LTUtMTMgMTEgOCAxMS04LTQgMTMgMTEgOGgtMTRsLTQgMTMtNC0xM1ptMzYgNTAgNC0xMy0xMS04aDE0bDQtMTIgNCAxMmgxM2wtMTAgOCA0IDEzLTExLTh6bTU5IDE5LTQtMTNoLTE0bDExLTgtNC0xMiAxMSA4IDExLTgtNCAxMiAxMSA5aC0xNFptNTktMTktMTEtOC0xMSA4IDQtMTMtMTAtOGgxM2w0LTEyIDQgMTJoMTRsLTExIDh6bTM2LTUwaC0xM2wtNCAxMy00LTEzaC0xNGwxMS04LTQtMTMgMTEgOCAxMS04LTUgMTN6bTAtNjItMTEgOCA1IDEzLTExLTgtMTEgOCA0LTEzLTExLThoMTRsNC0xMyA0IDEzem0tMzYtNTAtNCAxMyAxMSA4aC0xNGwtNCAxMi00LTEyaC0xNGwxMS04LTQtMTMgMTEgOHoiLz48L2c+PC9zdmc+"
American Samoa,35 ,-377 ,-342 ,377 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik01MTIgMjAuNFY0OTBMMjMuOCAyNTUuOHoiLz48cGF0aCBmaWxsPSIjYTIwMDFkIiBkPSJNNDQ1LjIgMjQ2LjVoLTMwLjVjOC05LjYgNy41LTIzLjctMS41LTMyLjdhMjQuMiAyNC4yIDAgMCAwIDAtMzQuMmwtLjUuNWEyNSAyNSAwIDAgMCAuNS0zNC44bC0xMzcgMTM3YTIzLjkgMjMuOSAwIDAgMCAzNCAwbDIuNi0yLjUgNjUuNi02djI4LjNoMjIuM3YtMzAuMmwzMy40LTN6Ii8+PHBhdGggZmlsbD0iI2ZmZGE0NCIgZD0iTTI3OC4zIDMxMS43IDI1NiAzMDAuNWwyMi4zLTExLjFINDIzdjIyLjN6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTAgMHY1MTJoNTEyTDI4LjcgMjU2LjIgNTEyIDB6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTUxMiAwIDAgMjU2bDUxMiAyNTZ2LTIyTDQzLjggMjU2IDUxMiAyMC40eiIvPjwvZz48L3N2Zz4="
Saint Martin,32 ,-1810 ,-1778 ,1810 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDEyOFYwaDUxMnYxMjhMMjk5IDUxMmgtODZ6Ii8+PGNpcmNsZSBjeD0iMjU2IiBjeT0iMjEzIiByPSI1NyIgZmlsbD0iI2ZmZGE0NCIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0xODUgMjEzaDE0MmwtNzEgMTI4WiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0yNTYgMzQxIDE0MiAyMzVoMjI4eiIvPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Im0wIDEyOCAyMTMgMjEzdjE3MUgwWm01MTIgMEwyOTkgMzQxdjE3MWgyMTN6Ii8+PC9nPjwvc3ZnPg=="
Guam,32 ,-2107 ,-2075 ,2107 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjQ0LjZsLTQxLjIgMjA3LjJMNTEyIDQ2Ny42VjUxMkgwdi00NC40bDM4LTIxOS0zOC0yMDR6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTAgNDQuNmg1MTJ2NDIzSDB6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTI0MS41IDQxNy43Yy0zLjUtMy04NS43LTc0LjUtODUuNy0xNjEuNiAwLTg3IDgyLjItMTU4LjYgODUuNy0xNjEuNkwyNTYgODIuMWwxNC41IDEyLjRjMy41IDMgODUuNyA3NC40IDg1LjcgMTYxLjYgMCA4Ny4yLTgyLjIgMTU4LjYtODUuNyAxNjEuNkwyNTYgNDMwLjF6Ii8+PHBhdGggZmlsbD0iIzMzOGFmMyIgZD0iTTMzNCAyNTYuMWMwLTc4LTc4LTE0NC43LTc4LTE0NC43cy03OCA2Ni44LTc4IDE0NC43YTE1MCAxNTAgMCAwIDAgMTcuNSA2Ni44aDEyMWExNTAgMTUwIDAgMCAwIDE3LjQtNjYuOHoiLz48cGF0aCBmaWxsPSIjMDA1MmI0IiBkPSJNMzM0IDI1Ni4xYTE1MCAxNTAgMCAwIDEtMTcuNSA2Ni44TDI1NiAzMzRsLTYwLjUtMTFhMTUwIDE1MCAwIDAgMS0xNy40LTY2LjloMTU1Ljh6Ii8+PHBhdGggZmlsbD0iI2ZmZGE0NCIgZD0iTTI1NiA0MDAuOHMzNy41LTMyLjIgNjAuNS03OGgtMTIxYzIzIDQ1LjggNjAuNSA3OCA2MC41IDc4eiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0yMDYgMjExLjZoMTAwbC01MCA1MHoiLz48cGF0aCBmaWxsPSIjYTIwMDFkIiBkPSJNMjM5LjMgMjQ1aDMzLjR2MTAwLjFoLTMzLjR6Ii8+PC9nPjwvc3ZnPg=="
